date,open,high,low,close,volume
11/4/2021,334.0065,337.273,332.65,335.85,22018494
11/5/2021,340.31,346.79,339.64,341.13,26347818
11/8/2021,344.42,344.789,338.34,338.62,18190506
11/9/2021,340,341.3075,334.47,335.37,17469000
11/10/2021,332.49,333.19,325.51,327.64,21819789
11/11/2021,329.82,332.459,327,327.74,12282131
11/12/2021,330.18,341.86,329.78,340.89,25288579
11/15/2021,344.34,353.65,343.2,347.56,24927345
11/16/2021,343.83,346.65,340.87,342.96,18078622
11/17/2021,344.24,347.3,340.1,340.77,13532783
11/18/2021,339.72,342.46,335.3,338.69,17462014
11/19/2021,342.2,352.1,339.9,345.3,25817935
11/22/2021,349.05,353.83,340.51,341.01,24267769
11/23/2021,338.93,341.3999,333.5,337.25,17184592
11/24/2021,336,341.78,332.81,341.06,13566181
11/26/2021,335.795,337.75,331.902,333.12,14688615
11/29/2021,336.89,340.67,335.305,338.03,16282873
11/30/2021,335,335.81,323.43,324.46,25246939
12/1/2021,330.29,330.5,310.29,310.6,30168811
12/2/2021,311.4,314.6,307.2,310.39,24327211
12/3/2021,313.73,313.75,299.5,306.84,27041396
12/6/2021,308.13,320.1,306.34,317.87,21511804
12/7/2021,321.57,326.54,321,322.81,18794047
12/8/2021,325,332.75,323.07,330.56,19441030
12/9/2021,329.54,336.13,328,329.82,16840926
12/10/2021,332.555,335.03,326.37,329.75,14281096
12/13/2021,330.95,341.09,329.59,334.49,22743009
12/14/2021,328.05,335.7,327.65,333.74,19152681
12/15/2021,332.4935,342.11,323.98,341.66,24065601
12/16/2021,338.98,344.46,333.74,334.9,22587872
12/17/2021,332.795,337.11,330.75,333.79,39672100
12/20/2021,329.775,329.9,322.53,325.45,17678238
12/21/2021,326.41,336,323.75,334.2,15516431
12/22/2021,333.8003,334.51,328.26,330.45,16714354
12/23/2021,330.1,336.67,328.36,335.24,13987698
12/27/2021,338.845,347.87,338.01,346.18,17726126
12/28/2021,346.63,352.71,345.2,346.22,16415427
12/29/2021,346.91,349.6899,341.6401,342.94,10683967
12/30/2021,344,347.23,343.22,344.36,10556734
12/31/2021,343.015,343.44,336.27,336.35,12516527
1/3/2022,338.295,341.0816,337.19,338.54,14166774
1/4/2022,339.95,343.0854,331.8711,336.53,15530232
1/5/2022,333.02,335.76,323.84,324.17,20209839
1/6/2022,322.82,339.165,322.72,332.46,27732733
1/7/2022,332.74,337,328.8801,331.79,14667144
1/10/2022,325.31,328.34,315.43,328.07,24828659
1/11/2022,326.78,334.63,325.28,334.37,16191633
1/12/2022,335.18,336.365,330.03,333.26,14060522
1/13/2022,334.98,335.63,325.76,326.48,14672853
1/14/2022,321.79,332.73,321.21,331.9,16868497
1/18/2022,323.29,324.21,317.64,318.15,22352652
1/19/2022,319.5822,327.1,319.33,319.59,20563976
1/20/2022,323.9,327.82,315.98,316.56,16641902
1/21/2022,314.81,318.31,303.04,303.17,28364134
1/24/2022,297.84,309.53,289.01,308.71,38195549
1/25/2022,299.95,306.23,297.58,300.15,24740170
1/26/2022,307.01,307.51,290.85,294.63,28148471
1/27/2022,297.752,301.709,294.26,294.64,21421023
1/28/2022,295.6204,301.9,293.0333,301.71,21737140
1/31/2022,300.68,313.79,299.32,313.26,21484575
2/1/2022,314.555,319.6598,312.12,319,17540828
2/2/2022,327.82,328,316.8747,323,45369674
2/3/2022,244.645,248,235.745,237.76,185731854
2/4/2022,234.97,242.6099,230.11,237.09,89342247
2/7/2022,237.7,238.3,224.01,224.91,87950389
2/8/2022,220.85,225.77,216.15,220.18,93919996
2/9/2022,224.2,233.37,222.21,232,85911071
2/10/2022,228.27,235,226.7,228.07,46789058
2/11/2022,228.46,230.42,218.7701,219.55,45881978
2/14/2022,219.31,221,214.78,217.7,38013472
2/15/2022,220.47,221.15,215.06,221,42401482
2/16/2022,212.41,217.46,212.36,216.54,45678260
2/17/2022,214.02,217.5,207.1601,207.71,38333068
2/18/2022,209.39,210.75,205.18,206.16,37128438
2/22/2022,202.34,207.48,200.06,202.08,39703994
2/23/2022,204.16,206.94,198.05,198.45,44032176
2/24/2022,191.06,208.35,190.22,207.6,49708163
2/25/2022,204.94,211.32,203.18,210.48,37306993
2/28/2022,207.675,213.1508,206.83,211.03,34021138
3/1/2022,209.87,211.7517,202.22,203.49,26774541
3/2/2022,204.775,209.15,202.02,208.11,29335792
3/3/2022,209.015,209.08,201.42,202.97,26863071
3/4/2022,202.37,205.89,198.79,200.06,32021100
3/7/2022,200.79,200.89,187.28,187.47,38115144
3/8/2022,187.85,196.7,186.11,190.29,36627917
3/9/2022,195.74,199.1,193.92,198.5,31776917
3/10/2022,194.84,196.28,191.068,195.21,24564961
3/11/2022,192.635,193.56,186.67,187.61,34378812
3/14/2022,187.03,192.29,185.82,186.63,30919329
3/15/2022,190.8,192.28,185.911,192.03,31636434
3/16/2022,194.7,203.73,194.52,203.63,40093054
